model_key,hf_id,family,params_b,tuning,tier,item_id,word,target,distractor,conflict_type,relation,prompt_style,condition,neutral_word,probe,mean_logprob_distractor,mean_logprob_target,n_cont_tokens_distractor,n_cont_tokens_target,sum_logprob_distractor,sum_logprob_target,score_sum_logprob,score_mean_logprob
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,answer_prior,probe,,answer_prior,-12.806336402893066,-12.462586402893066,1,1,-12.806336402893066,-12.462586402893066,0.34375,0.34375
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,conflict,,main,-10.399619102478027,-4.899618625640869,1,1,-10.399619102478027,-4.899618625640869,5.500000476837158,5.500000476837158
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,item,main,-12.411280632019043,-3.848780393600464,1,1,-12.411280632019043,-3.848780393600464,8.562500238418579,8.562500238418579
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,label,main,-13.061858177185059,-3.9056084156036377,1,1,-13.061858177185059,-3.9056084156036377,9.156249761581421,9.156249761581421
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,marker,main,-12.427361488342285,-3.614861488342285,1,1,-12.427361488342285,-3.614861488342285,8.8125,8.8125
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,object,main,-12.827433586120605,-4.2649335861206055,1,1,-12.827433586120605,-4.2649335861206055,8.5625,8.5625
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,symbol,main,-12.999124526977539,-3.842874765396118,1,1,-12.999124526977539,-3.842874765396118,9.156249761581421,9.156249761581421
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,definition_scope,neutral,thing,main,-12.413472175598145,-3.9134724140167236,1,1,-12.413472175598145,-3.9134724140167236,8.499999761581421,8.499999761581421
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,conflict,,main,-4.7793803215026855,-0.7168801426887512,1,1,-4.7793803215026855,-0.7168801426887512,4.062500178813934,4.062500178813934
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,item,main,-11.657537460327148,-1.657537579536438,1,1,-11.657537460327148,-1.657537579536438,9.99999988079071,9.99999988079071
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,label,main,-11.562747955322266,-1.1877484321594238,1,1,-11.562747955322266,-1.1877484321594238,10.374999523162842,10.374999523162842
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,marker,main,-12.266050338745117,-1.1410499811172485,1,1,-12.266050338745117,-1.1410499811172485,11.125000357627869,11.125000357627869
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,object,main,-11.561531066894531,-2.4052810668945312,1,1,-11.561531066894531,-2.4052810668945312,9.15625,9.15625
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,symbol,main,-11.993699073791504,-2.399948835372925,1,1,-11.993699073791504,-2.399948835372925,9.593750238418579,9.593750238418579
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,game_rule,neutral,thing,main,-10.778404235839844,-1.2471542358398438,1,1,-10.778404235839844,-1.2471542358398438,9.53125,9.53125
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,glossary,conflict,,main,-8.915395736694336,-4.540395736694336,1,1,-8.915395736694336,-4.540395736694336,4.375,4.375
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,item,main,-11.249017715454102,-5.124017238616943,1,1,-11.249017715454102,-5.124017238616943,6.125000476837158,6.125000476837158
qwen25_7b_base,Qwen/Qwen2.5-7B,Qwen,7.0,base,large_7b,0,small,big,tiny,antonym_remapping,synonym,glossary,neutral,label,main,-10.781717300415039,-4.250467777252197,1,1,-10.781717300415039,-4.250467777252197,6.531249523162842,6.531249523162842
